Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Kavaklıdere Bakır El İşlemeciliği;C2023/000115;21.03.2023;1682;2.01.2025;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Muğla;Muğla Ticaret ve Sanayi Odası;Tescilli
Kavaklıdere Cevizi;C2016/090;19.09.2016;528;28.08.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Muğla;Muğla Ticaret ve Sanayi Odası;Tescilli
Kaymaklı Kuru Kaymağı;C2021/000231;3.06.2021;1090;21.04.2022;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Nevşehir;Kaymaklı Belediyesi;Tescilli
Kaymaklı Çöreği;C2021/000244;16.06.2021;992;10.01.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Nevşehir;Kaymaklı Belediyesi;Tescilli
Kayseri Börek Aşı/ Kayseri Böre Aşı Çorbası;C2021/000432;18.10.2021;1593;27.05.2024;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Cırgalan Biberi;C2019/005;18.01.2019;557;6.10.2020;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kayseri;Kocasinan Belediyesi;Tescilli
Kayseri Fırın Ağzı Kebabı;C2021/000303;6.08.2021;1064;6.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Gül Baklavası;C2021/000322;23.08.2021;1138;7.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Katmeri;C2021/000084;26.02.2021;870;20.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Kavurması;C2024/000124;28.03.2024;1661;18.11.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Kayseri;KAYSERİ TİCARET BORSASI;Tescilli
Kayseri Kurşun Aşı Çorbası;C2021/000222;1.06.2021;950;22.11.2021;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Mantısı;C2006/011;22.05.2006;113;10.06.2009;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Nevzinesi;C2021/000221;1.06.2021;951;22.11.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Pastırması;C2000/008;13.09.2000;36;25.06.2002;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Sucuk İçi;C2021/000431;14.10.2021;1558;11.03.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Sucuğu;C2000/007;13.09.2000;35;25.06.2002;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Tandır Böreği;C2021/000092;2.03.2021;801;12.07.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Tepsi Mantısı;C2021/000305;9.08.2021;1059;5.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Yağ Mantısı;C2021/000233;7.06.2021;1005;20.01.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Yağlaması;C2021/000093;2.03.2021;800;12.07.2021;Mahreç İşareti;Yemekler ve çorbalar;Kayseri;Kayseri Ticaret Odası;Tescilli
Kayseri Çemeni;C2021/000433;19.10.2021;1424;26.07.2023;Mahreç İşareti;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kayseri;Kayseri Ticaret Odası;Tescilli
Kazan Kavunu;C2020/213;30.07.2020;763;24.05.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Ankara;Kahramankazan Belediyesi;Tescilli
Kazan Kavurması;C2021/000331;1.09.2021;1225;20.09.2022;Mahreç İşareti;Yemekler ve çorbalar;Ankara;Kahramankazan Belediyesi;Tescilli
Kazımkarabekir Kabak Çekirdeği;C2022/000293;12.09.2022;1350;3.05.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Karaman;Kazımkarabekir İlçe Tarım ve Orman Müdürlüğü;Tescilli
Kağızman Uzun Elması;C2012/118;12.07.2012;307;25.12.2017;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kars;Kars İl Özel İdaresi;Tescilli
Kaş Margaz Üzümü;C2023/000262;20.10.2023;1731;2.05.2025;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Antalya;Kumluca Ticaret ve Sanayi Odası;Tescilli
Keban Biberi;C2021/000062;9.02.2021;1657;4.11.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü, Elazığ Ticaret ve Sanayi Odası, Keban İlçe Tarım ve Orman Müdürlüğü;Tescilli
Keles Kirazı;C2022/000339;10.10.2022;1394;22.06.2023;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bursa;Bursa Büyükşehir Belediyesi;Tescilli
Kelkit Ketesi;C2020/210;29.07.2020;961;2.12.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Gümüşhane;Kelkit Ticaret ve Sanayi Odası;Tescilli
Kelkit Zilli Kilimi;C2017/179;6.11.2017;437;21.06.2019;Mahreç İşareti;Halılar ve kilimler;Gümüşhane;Kelkit Kaymakamlığı;Tescilli
Kelkit Şeker Fasulyesi;C2018/235;13.12.2018;479;2.01.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Gümüşhane;Kelkit İlçesi Kuru Fasulye Üreticileri Birliği;Tescilli
Kemah Doğal Kaynak Tuzu;C2021/019;18.01.2021;880;3.09.2021;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Erzincan;Kemah İlçe Tarım ve Orman Müdürlüğü;Tescilli
Kemaliye Dutu / Eğin Dutu;C2020/401;16.11.2020;813;27.07.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzincan;Kemaliye Belediyesi;Tescilli
Kemaliye Gazenne Dokuması / Eğin Gazenne Dokuması;C2023/000034;26.01.2023;1469;12.09.2023;Mahreç İşareti;Dokumalar;Erzincan;Kemaliye Belediyesi;Tescilli
Kemaliye Kapı Tokmağı/Eğin Kapı Tokmağı;C2023/000032;26.01.2023;1768;2.09.2025;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Erzincan;Kemaliye Belediyesi;Tescilli
Kemaliye Kuru Kaymağı/Eğin Kuru Kaymağı;C2023/000033;26.01.2023;1769;2.09.2025;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Erzincan;Kemaliye Belediyesi;Tescilli
Kemaliye Lök Tatlısı / Eğin Lök Tatlısı;C2023/000035;26.01.2023;1452;21.08.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzincan;Kemaliye Belediyesi;Tescilli
Kemalpaşa Kirazı;C2020/041;5.02.2020;702;24.03.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;Kemalpaşa Tarımı Destekleme ve Geliştirme Derneği;Tescilli
Kemalpaşa Tatlısı / Mustafakemalpaşa Peynir Tatlısı / Mustafakemalpaşa Tatlısı;C2017/156;11.10.2017;784;18.06.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bursa;Mustafakemalpaşa Ticaret ve Sanayi Odası;Tescilli
Kepsut Bükdere Küflü Katık Peyniri;C2021/000260;29.06.2021;1683;3.01.2025;Mahreç İşareti;Peynirler;Balıkesir;Balıkesir Büyükşehir Belediyesi;Tescilli
Keşan Korudağ Çiçek Balı;C2022/000459;20.12.2022;1660;18.11.2024;Menşe Adı;Bal;Edirne;Keşan Belediyesi;Tescilli
Keşan Mahmutköy Kuru Fasulyesi;C2022/000009;12.01.2022;1591;23.05.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Edirne;Keşan Ticaret ve Sanayi Odası;Tescilli
Keşan Satır Et;C2008/026;9.07.2008;153;7.02.2012;Mahreç İşareti;Yemekler ve çorbalar;Edirne;Keşan Ticaret ve Sanayi Odası;Tescilli
Keşan Siğilli Bamyası;C2019/222;26.12.2019;617;7.12.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Edirne;Keşan Ticaret ve Sanayi Odası;Tescilli
Kilis Ekşili Kebabı;C2021/000495;29.11.2021;1257;15.11.2022;Mahreç İşareti;Yemekler ve çorbalar;Kilis;Kilis Belediyesi;Tescilli
Kilis Horoz Karası Üzümü;C2021/000477;17.11.2021;1632;21.08.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kilis;Kilis İli Üzüm Üreticileri Birliği;Tescilli
Kilis Kahvaltılık Toz Zahter;C2022/000458;16.12.2022;1744;3.06.2025;Mahreç İşareti;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Kilis;Kilis Belediyesi;Tescilli
Kilis Katmeri;C2014/028;17.04.2014;193;27.11.2015;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kilis;Kilis Valiliği;Tescilli
Kilis Kırk Semseği;C2021/000349;21.09.2021;1146;8.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kilis;Kilis Belediye Başkanlığı İktisadi İşletmesi;Tescilli
Kilis Tava;C2021/000258;25.06.2021;1017;2.02.2022;Mahreç İşareti;Yemekler ve çorbalar;Kilis;Kilis Belediyesi;Tescilli
Kilis Yorganı;C2021/000332;2.09.2021;1245;26.10.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kilis;Kilis Belediyesi;Tescilli
Kilis Zeytinyağı;C2019/157;1.11.2019;1021;4.02.2022;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Kilis;Kilis Ticaret İl Müdürlüğü;Tescilli
Kilis Şıhılmahşe;C2021/000333;3.09.2021;1229;26.09.2022;Mahreç İşareti;Yemekler ve çorbalar;Kilis;Kilis Belediyesi;Tescilli
Kocaali Hurma Kurusu;C2020/154;29.06.2020;815;28.07.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sakarya;Kocaali Belediyesi;Tescilli
Kocaali Çamdağı Kestane Balı;C2020/162;29.06.2020;1218;12.09.2022;Menşe Adı;Bal;Sakarya;Kocaali Belediyesi;Tescilli
Konuralp Pirinci;C2017/056;3.07.2017;438;25.06.2019;Menşe Adı;Diğer ürünler;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Konya Badem Helvası;C2022/000068;22.02.2022;1202;25.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Balık Çokratması;C2022/000454;14.12.2022;1693;28.01.2025;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Bamya Çorbası;C2020/065;2.03.2020;677;18.02.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Bütümet / Konya Orta;C2020/276;16.09.2020;936;27.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Bıçakarası;C2022/000328;30.09.2022;1466;8.09.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Calla Yemeği;C2020/260;15.09.2020;1177;25.07.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Cimcik;C2020/279;16.09.2020;938;27.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Domalan Yemeği;C2020/293;17.09.2020;862;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Ekmek Salması;C2020/262;15.09.2020;1111;18.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Ekşili Kabak;C2020/282;16.09.2020;997;20.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Etli Düğün Pilavı;C2009/002;21.01.2009;142;7.03.2011;Mahreç İşareti;Yemekler ve çorbalar;Konya;Öz Başaralı Tunç Kardeşler Gıda İnşaat ve Hayvancılık Sanayi Ticaret Limited Şirketi;Tescilli
Konya Etli Yaprak Sarması;C2020/290;17.09.2020;859;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Etliekmek;C2012/126;11.09.2012;214;9.06.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Lokantacılar Odası;Tescilli
Konya Fırın Kebabı / Konya Fürun Kebabı;C2020/265;15.09.2020;1113;18.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Güneyik Salatası;C2022/000233;29.07.2022;1364;24.05.2023;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Haside Tatlısı / Konya Kara Helvası;C2020/292;17.09.2020;861;20.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Hassaten Lokma;C2020/277;16.09.2020;962;2.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Höşmerimi;C2022/000071;22.02.2022;1205;25.08.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Ildız Kökü Yemeği;C2020/291;17.09.2020;860;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kakırdaklı Börek;C2020/320;24.09.2020;932;26.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kara Erik Kavurması;C2020/316;24.09.2020;826;6.08.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Karışık Börek;C2022/000428;30.11.2022;1621;5.08.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kaygana;C2022/000430;30.11.2022;1526;24.01.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kayısı Hoşafı / Konya Zerdali Hoşafı;C2020/315;24.09.2020;825;6.08.2021;Mahreç İşareti;Diğer ürünler;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kenevir Helvası;C2020/261;15.09.2020;944;5.11.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kifayesi;C2022/000231;29.07.2022;1674;23.12.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kikirdekli Kesme Çorbası;C2020/294;17.09.2020;863;20.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kuru Kabak Sarması;C2020/314;24.09.2020;901;24.09.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Köftü;C2022/000452;14.12.2022;1692;28.01.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kömbesi;C2020/289;17.09.2020;1123;24.05.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Kıtırlı Mantı;C2020/298;17.09.2020;908;1.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Menekşeli Pilav;C2020/296;17.09.2020;909;1.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Mıkla;C2022/000453;14.12.2022;1720;14.04.2025;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Ovmaç Çorbası;C2020/300;17.09.2020;913;4.10.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Paluzesi / Konya Palize;C2020/274;16.09.2020;925;11.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Patlıcan Bayıldan;C2020/288;17.09.2020;884;7.09.2021;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Patlıcan Tiridi;C2020/284;17.09.2020;1002;20.01.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Paça Yahnisi;C2020/269;16.09.2020;1191;16.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Peynir Şekeri;C2014/002;2.01.2014;414;11.02.2019;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Konya;Konya Ticaret Odası;Tescilli
Konya Reyhan Şerbeti;C2020/312;24.09.2020;824;6.08.2021;Mahreç İşareti;Alkolsüz içecekler;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Sac Arası;C2020/273;16.09.2020;927;11.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
Konya Sütlü Selemen;C2022/000232;29.07.2022;1363;24.05.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Konya;Konya Büyükşehir Belediyesi;Tescilli
